sis_habilitado,total_inscripcion_plan,valor_dscto_inscripcion,total_cobro_inscripcion,capital_total,capital_por_refinanciamiento,abonos_capital_actual,saldo_capital,valor_tasa_administrativa,total_tasa_administrativa_cobrada,total_cuotas_cobradas,total_cuotas_mora_actual,total_cuotas_mora,total_monto_cobrado,valor_dscto_primera_cuota,total_cobro_primera_cuota,valor_recargo,num_cuotas_abajo_hacia_arriba,valor_a_devolver,valor_primer_capital_devolver,inscripcion_a_devolver,tasa_administrativa_a_devolver,id_contrato,id_plan,
A,150,0,150,3000,0,416.65,2583.35,35.42,172.65,5,0,0,615,0,123,0,0,0,0,0,0,1,31,1
A,180,0,180,6000,0,500.00,5500.00,31.76,222.32,7,0,0,749,0,107,0,0,0,0,0,0,2,34,2
A,300,0,300,6000,0,500,5500.00,13.9,97.32,7,0,0,609,0,87,0,0,0,0,0,0,3,1,3
A,300,0,300,6000,0,750,5250,22.32,133.93,6,0,0,900,0,150,0,0,0,0,0,0,4,1,4
A,300,0,180,6000,0,666.67,5333.33,15.77,126.16,8,0,0,808,0,101.00,44.80,0,0,0,0,0,5,1,5
A,300,0,300,6000,0,416.65,5583.35,37.20,186.00,5,0,0,625,0,125,0,0,0,0,0,0,6,34,6
A,300,0,300,6000,0,571.44,5428.56,13.90,111.20,8,0,0,696,0,87,44.80,0,0,0,0,0,7,1,7
A,400,0,400,8000,0,666.67,7333.00,17.64,123.48,7,1,1,805.00,0,115.00,0,0,0,0,0,0,8,3,8
A,150,0,150,3000,0,583.33,2416.67,35.42,247.94,7,0,10,861,0,123.00,0,0,0,0,0,0,9,31,9
A,300,0,300,9000,0,750,8250.00,19.52,153.00,7,0,0,903.00,0,129.00,0,0,0,0,0,0,10,37,10
A,300,0,300,6000,0,357.14,5642.86,31.76,158.80,5,0,0,535.00,0,107,0,0,0,0,0,0,11,34,11
A,180,0,180,6000,0,681.43,5318.57,30.87,216.09,6,0,0,716,0,106,0,0,0,0,0,0,12,34,12
A,300,0,300,6000,0,500.01,5499.99,13.90,97.30,7,0,0,609,0,87,0,0,0,0,0,0,13,1,13
A,400,0,400,8000,0,428.57,7571.43,38.90,233.42,6,0,0,690,0,115.00,0,0,0,0,0,0,14,1,14
A,300,0,300,3000,0,416.65,2583.35,35.42,177.10,5,0,0,615,0,123.00,0,0,0,0,0,0,15,31,15
A,300,0,300,6000,0,357.14,5642.86,31.76,158.80,5,0,0,535.00,0,107.00,0,0,0,0,0,0,16,34,16
A,700,0,700,14000,0,1333.33,12666.67,28.87,230.95,8,0,0,1592.00,0,125,0,0,0,0,0,0,17,9,17
A,1000,0,1000,20000,0,0,20000,40.99,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,18
A,150,0,150,3000,0,0,3000,35.42,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,19
A,600,0,600,20000,0,2380.95,17619.05,40.99,409.90,10,3,3,2840.00,0,284.00,0,0,0,0,0,0,20,15,20
A,150,0,150,3000,0,666.67,2333.33,35.42,283.36,8,0,0,984,0,123,0,0,0,0,0,0,21,31,21
A,600,0,600,12000,0,1129.71,10870.29,25.13,253.29,8,0,0,1383.00,0,171,0,0,0,0,0,0,22,7,22
A,300,0,300,10000,0,1000.02,8999.98,27.97,167.82,6,4,4,1188.00,0,198,0,0,0,0,0,0,23,5,23
A,425,0,425,9000,0,5188,3812,54.02,1512.51,27,0,0,7054.64,0,248.00,0,6,0,0,0,0,24,37,24
