sis_habilitado,fecha_cobro,fecha_mora,numero_cuota,valor_cuota,valor_pagado_cuota,valor_tasa_administrativa,valor_impuesto,abono_capital,esta_pagado,esta_mora,id_historico_plan_contrato,dispositivo,rastreo,dispositivo_esta_pagado,rastreo_esta_pagado
A,2021-12-10,2021-12-21,1,123.00,123.00,35.42,4.25,83.33,S,N,1,0.00,0.00,N,N
A,2022-01-10,2022-01-21,2,123.00,123.00,35.42,4.25,83.33,S,N,1,0.00,0.00,N,N
A,2022-02-10,2022-02-21,3,123.00,123.00,35.42,4.25,83.33,S,N,1,0.00,0.00,N,N
A,2022-03-10,2022-03-21,4,123.00,123.00,35.42,4.25,83.33,S,N,1,0.00,0.00,N,N
A,2022-04-10,2022-04-21,5,123.00,123.00,35.42,4.25,83.33,S,N,1,0.00,0.00,N,N
I,2022-05-10,2022-05-21,6,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-06-10,2022-06-21,7,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-07-10,2022-07-21,8,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-08-10,2022-08-21,9,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-09-10,2022-09-21,10,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-10-10,2022-10-21,11,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-11-10,2022-11-21,12,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2022-12-10,2022-12-21,13,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-01-10,2023-01-21,14,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-02-10,2023-02-21,15,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-03-10,2023-03-21,16,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-04-10,2023-04-21,17,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-05-10,2023-05-21,18,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-06-10,2023-06-21,19,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-07-10,2023-07-21,20,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-08-10,2023-08-21,21,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-09-10,2023-09-21,22,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-10-10,2023-10-21,23,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-11-10,2023-11-21,24,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2023-12-10,2023-12-21,25,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-01-10,2024-01-21,26,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-02-10,2024-02-21,27,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-03-10,2024-03-21,28,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-04-10,2024-04-21,29,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-05-10,2024-05-21,30,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-06-10,2024-06-21,31,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-07-10,2024-07-21,32,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-08-10,2024-08-21,33,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-09-10,2024-09-21,34,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-10-10,2024-10-21,35,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
I,2024-11-10,2024-11-21,36,123.00,0.00,35.42,4.25,83.33,N,N,1,0.00,0.00,N,N
A,2022-05-05,2022-05-16,1,107.00,107.00,31.76,3.81,71.43,S,N,2,0.00,0.00,N,N
A,2022-06-05,2022-06-16,2,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-07-05,2022-07-16,3,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-08-05,2022-08-16,4,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-09-05,2022-09-16,5,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-10-05,2022-10-16,6,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-11-05,2022-11-16,7,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2022-12-05,2022-12-16,8,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-01-05,2023-01-16,9,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-02-05,2023-02-16,10,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-03-05,2023-03-16,11,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-04-05,2023-04-16,12,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
A,2023-05-05,2023-05-16,13,107.00,0.00,31.76,3.81,71.43,N,N,2,0.00,0.00,N,N
